title,date,audienceScore,criticsScore
The Burial,"Oct 13, 2023",85,90
Fair Play,"Oct 6, 2023",51,87
Reptile,"Sep 29, 2023",73,43
"Mission: Impossible - Dead Reckoning, Part One","Oct 10, 2023",94,96
Talk to Me,"Sep 12, 2023",82,94
Totally Killer,"Oct 6, 2023",78,87
The Wonderful Story of Henry Sugar,"Sep 27, 2023",82,95
No One Will Save You,"Sep 22, 2023",57,82
The Equalizer 3,"Oct 3, 2023",94,76
Haunted Mansion,"Oct 4, 2023",84,37
Expend4bles,"Oct 13, 2023",71,14
Scrapper,"Oct 10, 2023",82,93
The Nun II,"Oct 3, 2023",73,52
Dark Harvest,"Oct 13, 2023",63,68
Sound of Freedom,"Oct 13, 2023",99,58
Huesera: The Bone Woman,"Feb 16, 2023",67,97
Barbie,"Sep 12, 2023",83,88
The Mill,"Oct 9, 2023",42,50
The Boogeyman,"Aug 29, 2023",66,60
Past Lives,"Aug 22, 2023",92,98
Deliver Us From Evil,"Oct 21, 2014",42,28
It Lives Inside,"Oct 10, 2023",49,61
Monster Inside: America's Most Extreme Haunted House,"Oct 12, 2023",84,
Us,"Jun 4, 2019",60,93
Blue Beetle,"Sep 26, 2023",92,78
