job_title,company_name,location,job_type
Data Science Instructor,EpsilonAI,Nasr City/ Cairo/ Egypt,Full Time
Senior Data Architect/Modeler,eT3,New Cairo/ Cairo/ Egypt,Full Time
Manager IT Data Engineering,Charterhouse,Dubai/ United Arab Emirates,Full Time
Data Analysis Quality Internship - Alexandria,Prometeon,Ameria/ Alexandria/ Egypt,Internship
Snr Data Center Project Engineer,Amazon,Dubai/ United Arab Emirates,Full Time
Master Data Supervisor,Nahdet,Mohandessin/ Giza/ Egypt,Full Time
Specialist Big Data Administrator - SWDC,Giza,Cairo/ Egypt,Full Time
Data Analysis Supervisor,Nahdet,Mohandessin/ Giza/ Egypt,Full Time
Engineering Data Analyst (Digital Twin),KBR,Riyadh/ Saudi Arabia,Full Time
Data Engineer-Data Integration,IBM,Cairo/ Egypt,Full Time
Data Engineer,DXC.technology,Cairo/ Egypt,Full Time
Master Data Analyst,Johnson,Cairo/ Egypt,Full Time
Programme Assistant (Data Analyst),World,Cairo/ Egypt,Full Time
Data Analyst,UrbaCon,Doha/ Qatar,Full Time
Group Data Engineer,DP,Dubai/ United Arab Emirates,Full Time
Data Engineer,Erada,Maadi/ Cairo/ Egypt,Full Time
Data Analyst,Tazweed,Abu Dhabi/ United Arab Emirates,Full Time
Data Manager / Documents Controller (m/f),Dornier,Riyadh/ Saudi Arabia,Full Time
Data Analyst,QUANT,Riyadh/ Saudi Arabia,Full Time
Data Engineering intern,QUANT,Riyadh/ Saudi Arabia,Full Time
Data Engineer,Tyde,Dubai/ United Arab Emirates,Full Time
Data Engineer,ManpowerGroup,Riyadh/ Saudi Arabia,Full Time
Junior Data Analyst,Options,Mohandessin/ Giza/ Egypt,Full Time
Architect & Data Lead,ManpowerGroup,Riyadh/ Saudi Arabia,Full Time
Solution Architect / Solution Designer - Data/ Analytics & Integration Platforms,Persistence,Riyadh/ Saudi Arabia,Full Time
SENIOR DATA WAREHOUSE ANALYST,King,Riyadh/ Saudi Arabia,Full Time
Data Engineer lead,BBI-Consultancy,Nasr City/ Cairo/ Egypt,Full Time
Data Analysis/Analytics Instructor (Excel - Power BI),EpsilonAI,Nasr City/ Cairo/ Egypt,Full Time
Data Engineer,Carina,New Cairo/ Cairo/ Egypt,Full Time
Data Analyst,Confidential,Alexandria/ Egypt,Full Time
